Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m
1736,147,59,1992,198.41081,0,1,0
2060,184,166,1998,137.408694,0,1,0
1743,177,98,2001,145.603984,0,1,0
1119,130,48,1987,228.565496,0,1,0
2932,179,63,2007,161.772225,0,1,0
3247,270,67,1962,93.217686,0,1,1
1250,176,67,2009,183.865142,0,1,0
1064,122,54,1997,244.700753,0,1,0
2175,106,84,2003,113.405913,0,1,0
6090,371,186,1998,13.740672,0,1,0
1330,139,46,1988,198.461378,0,1,0
6157,288,146,1985,71.061781,0,1,0
1090,128,47,1992,230.054345,0,1,0
1626,266,63,1965,132.786699,0,1,0
1011,124,45,1992,177.18521,0,1,0
2456,131,107,2010,134.773752,0,1,0
3566,242,75,1975,75.790639,0,1,0
2196,500,159,1964,36.503171,0,1,0
2772,263,100,2008,116.369612,0,0,0
1550,94,58,2012,99.517355,0,1,0
6704,179,132,1992,27.448259,0,1,0
2346,104,79,1997,217.886726,0,1,0
1434,152,64,1986,49.159554,0,1,0
5761,566,194,1995,56.628587,0,1,0
1472,115,55,2012,16.20699,0,0,0
1505,94,76,2000,260.406481,0,1,0
1051,113,61,2008,132.430674,0,1,0
2701,192,98,2005,143.64208,0,1,0
1216,80,48,1995,317.474696,0,1,0
1106,101,67,1998,261.415165,0,1,0
1784,490,147,1968,141.874241,0,1,0
9426,270,239,1942,143.88281,0,1,0
1061,195,72,1993,152.80891,0,1,0
2036,132,54,1998,103.369135,0,1,0
1300,365,255,2011,95.476203,0,1,0
1610,98,73,2011,139.874871,0,0,0
4814,241,74,1979,63.227812,0,1,0
2072,819,235,1964,37.067869,0,1,1
4550,293,128,1999,151.637037,0,1,0
1100,85,58,2008,298.864981,0,0,0
3041,236,134,1970,102.813451,0,1,1
1800,273,126,2008,135.100086,0,1,0
1290,149,49,2009,140.520832,0,0,0
1520,187,62,1968,157.498109,0,1,0
1225,136,50,1990,220.794224,0,1,0
1200,159,49,2009,33.969678,0,0,0
1213,144,88,1940,93.410794,0,1,0
4078,672,122,1991,33.934426,0,1,0
1332,82,97,1989,209.385457,0,1,0
1752,98,77,2008,236.887268,0,1,0
1420,90,67,2009,139.357677,0,1,0
3908,111,70,1989,55.762729,0,1,0
1864,136,46,1988,233.513785,0,1,0
2130,141,71,2012,8.285758,0,0,0
11000,352,91,1958,36.025484,1,1,0
1547,150,75,2008,197.375501,0,1,0
2712,154,109,2007,204.500945,0,1,0
1613,155,105,2005,187.619375,0,1,0
4662,495,113,1961,61.125314,1,1,0
1161,95,61,2005,276.661613,0,1,0
1080,232,130,1979,167.85888,0,1,0
8412,232,94,1971,174.550645,0,1,0
2039,220,72,2005,149.303089,0,1,0
2602,189,36,1981,152.36368,0,1,0
2800,379,109,2006,103.742422,0,0,0
2056,190,99,1998,39.284426,0,1,0
5466,247,82,1968,80.378316,0,1,0
1653,250,96,1998,116.258671,0,1,0
3545,312,169,1999,86.366995,0,1,0
1375,163,61,1986,127.942686,0,1,0
1440,211,65,2008,142.377433,0,1,0
